year,agegroup,population,deaths
1950,0-4,10399051,814
1950,5-14,17943225,119
1950,15-34,24167957,186
1950,35-49,10469967,125
1950,50-100,5818823,193
1951,0-4,10525051,813
1951,5-14,18056859,115
1951,15-34,24846507,188
1951,35-49,10731007,126
1951,50-100,6126877,201
1952,0-4,10760270,816
1952,5-14,18143504,112
1952,15-34,25550868,188
1952,35-49,10973209,126
1952,50-100,6448581,209
1953,0-4,11109502,821
1953,5-14,18205022,109
1953,15-34,26269479,189
1953,35-49,11202405,125
1953,50-100,6782735,224
1954,0-4,11587664,829
1954,5-14,18236327,104
1954,15-34,26990874,191
1954,35-49,11425115,125
1954,50-100,7127388,231
1955,0-4,12139401,836
1955,5-14,18300708,101
1955,15-34,27704784,190
1955,35-49,11649436,125
1955,50-100,7479177,246
1956,0-4,12688402,840
1956,5-14,18473663,99
1956,15-34,28402025,189
1956,35-49,11881490,128
1956,50-100,7836968,258
1957,0-4,13240771,844
1957,5-14,18747239,99
1957,15-34,29075158,187
1957,35-49,12123440,127
1957,50-100,8204225,268
1958,0-4,13794562,846
1958,5-14,19125395,96
1958,15-34,29713667,194
1958,35-49,12377805,128
1958,50-100,8581332,279
1959,0-4,14346022,849
1959,5-14,19613421,95
1959,15-34,30314157,190
1959,35-49,12652138,126
1959,50-100,8967130,295
1960,0-4,14890631,849
1960,5-14,20212504,95
1960,15-34,30877957,187
1960,35-49,12953978,126
1960,50-100,9360999,309
1961,0-4,15426735,849
1961,5-14,20907895,95
1961,15-34,31410402,187
1961,35-49,13286269,127
1961,50-100,9759946,320
1962,0-4,15951467,846
1962,5-14,21706170,98
1962,15-34,31904955,180
1962,35-49,13651540,126
1962,50-100,10161717,332
1963,0-4,16462918,843
1963,5-14,22613401,98
1963,15-34,32361261,178
1963,35-49,14050447,127
1963,50-100,10563395,350
1964,0-4,16962281,838
1964,5-14,23643273,97
1964,15-34,32780005,173
1964,35-49,14485276,128
1964,50-100,10962912,360
1965,0-4,17381542,967
1965,5-14,24709695,142
1965,15-34,33081118,314
1965,35-49,14897170,206
1965,50-100,11295604,481
1966,0-4,17770191,840
1966,5-14,25745187,120
1966,15-34,33372150,208
1966,35-49,15303246,156
1966,50-100,11601978,400
1967,0-4,18201254,806
1967,5-14,26794474,95
1967,15-34,33805341,158
1967,35-49,15770044,132
1967,50-100,11955279,394
1968,0-4,18622380,795
1968,5-14,27845152,95
1968,15-34,34378274,154
1968,35-49,16283623,135
1968,50-100,12320576,407
1969,0-4,19030871,780
