Province,2016,2017,2018,2019,2020,2021
Aceh,0,151,68,10,2,2
Bangka Belitung,39,42,39,53,46,13
Bali,0,71,135,278,48,29
Banten,135,317,370,230,86,30
Bengkulu,0,66,86,89,4,5
DI Yogyakarta,0,189,157,150,86,107
DKI Jakarta,59,1288,1446,863,349,817
Gorontalo,0,9,68,47,12,10
Jawa Barat,120,61,682,454,201,136
Jambi,0,15,20,114,1,5
Jawa Tengah,0,211,659,527,152,147
Jawa Timur,235,930,1134,1200,343,242
Kalimantan Barat,0,6,36,58,17,2
Kalimantan Selatan,4,52,148,47,12,5
Kalimantan Utara,0,21,32,45,6,0
Kalimantan Tengah,0,38,81,65,24,15
Kalimantan Timur,0,41,114,81,9,2
Kepulauan Riau,83,160,158,130,46,21
Lampung,92,295,220,5,33,29
Maluku,0,11,72,61,0,0
Maluku Utara,21,1,7,5,1,0
NTB,0,131,87,156,32,71
NTT,0,12,101,23,60,21
Papua,3,95,306,372,110,24
Papua Barat,0,7,25,0,12,10
Riau,53,229,279,131,9,13
Sulawesi Barat,0,0,34,26,5,1
Sulawesi Selatan,5,514,866,763,112,99
Sulawesi Tengah,0,95,106,131,39,25
Sulawesi Tenggara,0,4,20,4,7,0
Sulawesi Utara,0,51,41,18,2,1
Sumatera Barat,192,446,476,533,102,85
Sumatera Selatan,2,123,133,219,113,47
Sumatera Utara,104,400,496,336,76,26
