,Province,2016,2017,2018,2019,2020,2021
0,ACEH,444,403,454,494,457,114
1,BABEL,101,65,59,70,63,10
2,BALI,47,79,87,56,98,30
3,BANTEN,690,733,1292,1434,966,227
4,BENGKULU,71,61,157,179,58,14
5,DIY,149,123,208,207,107,31
6,DKI JAKARTA,2739,3453,3639,3857,2520,357
7,GORONTALO,6,12,15,27,40,25
8,JABAR,3647,5457,5281,9852,5610,1353
9,JAMBI,86,101,65,64,102,55
10,JATENG,2411,2633,3393,3396,2832,765
11,JATIM,1833,1716,2307,2618,1927,486
12,KALBAR,128,198,229,187,277,56
13,KALSEL,180,207,349,443,195,85
14,KALTARA,138,234,222,182,129,9
15,KALTENG,256,275,261,232,134,35
16,KALTIM,157,192,166,249,242,51
17,KEPRI,214,267,369,355,329,68
18,LAMPUNG,128,104,125,54,140,38
19,MALUKU,254,215,127,60,52,16
20,MALUT,138,138,149,143,83,23
21,NTB,81,138,69,45,112,18
22,NTT,181,139,117,140,180,39
23,PAPUA,1628,1783,1834,1337,892,141
24,PAPUA BARAT,387,153,221,409,295,94
25,RIAU,465,529,406,388,274,114
26,SULBAR,51,34,27,32,63,10
27,SULSEL,704,863,1022,1057,840,257
28,SULTENG,88,127,118,171,176,57
29,SULTRA,93,71,108,112,55,29
30,SULUT,335,119,109,122,118,26
31,SUMBAR,303,344,378,378,161,51
32,SUMSEL,254,229,293,366,450,124
33,SUMUT,1445,1454,1547,1111,1156,348
