region_province,perc_treatment_coverage_confirmed
Indonesia,75
Aceh,53
Sumatera Utara,56
Sumatera Barat,55
Riau,43
Kepulauan Riau,42
Jambi,39
Sumatera Selatan,55
"Kepulauan Bangka
Belitung",42
Bengkulu,41
Lampung,54
Banten,111
DKI Jakarta,100
Jawa Barat,125
Jawa Tengah,83
DI Yogyakarta,59
Jawa Timur,73
Kalimantan Barat,66
Kalimantan Tengah,44
Kalimantan Selatan,49
Kalimantan Timur,55
Kalimantan Utara,53
Sulawesi Utara,81
Gorontalo,101
Sulawesi Tengah,57
Sulawesi Selatan,69
Sulawesi Barat,58
Sulawesi Tenggara,58
Bali,31
Nusa Tenggara Barat,46
Nusa Tenggara Timur,40
Maluku,63
Maluku Utara,66
Papua,75
Papua Barat,43
